iter	Passed	Remaining
0	20	4157
1	34	3414
2	45	2961
3	50	2492
4	59	2302
5	63	2064
6	67	1871
7	74	1796
8	83	1768
9	99	1890
10	108	1863
11	114	1796
12	124	1794
13	133	1772
14	143	1766
15	155	1791
16	159	1718
17	165	1673
18	174	1660
19	179	1616
20	188	1603
21	193	1568
22	199	1532
23	207	1521
24	212	1488
25	214	1436
26	222	1428
27	225	1388
28	231	1362
29	237	1346
30	245	1336
31	253	1331
32	255	1294
33	262	1279
34	266	1257
35	274	1248
36	284	1252
37	286	1221
38	291	1205
39	299	1196
40	304	1179
41	308	1160
42	312	1142
43	318	1129
44	323	1112
45	327	1095
46	333	1084
47	338	1070
48	342	1055
49	349	1048
50	354	1035
51	358	1021
52	365	1014
53	370	1002
54	375	990
55	383	985
56	388	975
57	393	963
58	398	952
59	403	940
60	406	927
61	412	917
62	416	905
63	420	893
64	424	880
65	430	873
66	435	865
67	439	853
68	446	847
69	450	836
70	454	825
71	458	814
72	462	805
73	465	791
74	468	781
75	472	771
76	478	765
77	482	755
78	486	745
79	491	736
80	496	729
81	500	719
82	503	710
83	509	703
84	513	694
85	517	685
86	521	676
87	528	672
88	532	663
89	536	655
90	541	648
91	546	641
92	550	633
93	554	625
94	559	618
95	563	610
96	567	602
97	571	594
98	576	588
99	580	580
100	584	573
101	590	567
102	594	559
103	597	551
104	601	544
105	608	539
106	612	532
107	616	524
108	621	518
109	625	511
110	627	503
111	631	495
112	635	488
113	642	484
114	645	477
115	649	470
116	656	465
117	662	460
118	666	453
119	668	445
120	674	440
121	678	433
122	681	426
123	687	421
124	691	415
125	695	408
126	699	402
127	705	396
128	708	390
129	710	382
130	714	376
131	721	371
132	725	365
133	729	359
134	730	351
135	738	347
136	741	341
137	745	335
138	752	330
139	755	323
140	759	317
141	762	311
142	765	305
143	771	300
144	775	294
145	779	288
146	786	283
147	790	277
148	794	271
149	799	266
150	803	260
151	807	254
152	811	249
153	818	244
154	822	238
155	825	232
156	830	227
157	835	222
158	839	216
159	842	210
160	847	205
161	851	199
162	855	194
163	859	188
164	864	183
165	870	178
166	874	172
167	879	167
168	884	162
169	888	156
170	892	151
171	898	146
172	901	140
173	905	135
174	909	129
175	914	124
176	918	119
177	937	115
178	946	111
179	952	105
180	958	100
181	964	95
182	968	89
183	972	84
184	978	79
185	984	74
186	987	68
187	994	63
188	998	58
189	1002	52
190	1005	47
191	1011	42
192	1015	36
193	1019	31
194	1023	26
195	1028	20
196	1031	15
197	1035	10
198	1041	5
199	1045	0
